Año;Autoridad Portuaria;Graneles Líquidos;Graneles Sólidos;Mercancía General;Pesca Fresca;Avituallamiento;Tráfico Local;TOTAL TRAFICO;TEUS;Buques
2007;Baleares;2.206.536;2.314.781;9.894.345;2.758;243.658;0;14.662.078;194.271;11.469
2007;Barcelona;10.990.527;3.870.253;35.185.325;3.085;1.340.273;0;51.389.463;2.610.100;9.942
2007;Bilbao;22.682.180;5.832.384;9.907.939;0;152.239;1.439.588;40.014.330;554.558;3.595
2007;Cartagena;17.532.087;5.371.083;1.036.389;1.261;106.354;168;24.047.342;47.036;1.502
2007;Castellón;7.354.235;3.902.855;1.829.418;5.582;55.742;0;13.147.832;101.929;1.452
2007;Ceuta;1.045.462;75.637;958.181;129;563.104;0;2.642.513;13.942;14.173
2007;Ferrol-S. Cibrao;1.478.064;8.726.704;833.760;120;21.667;75;11.060.390;8.244;1.265
2007;Gijón;1.470.211;18.305.091;755.907;12.435;234.511;3.972;20.782.127;13.849;1.080
2007;Huelva;13.463.433;7.603.640;716.115;5.166;91.682;17.532;21.897.568;0;1.813
2007;Las Palmas;4.673.990;1.615.745;18.217.050;3.856;2.184.122;0;26.694.763;1.317.320;9.982
2007;Málaga;109.375;1.603.906;4.537.741;1.832;119.774;2.066;6.374.694;542.405;1.965
2007;Marín y Ría de Pontevedra;10;937.575;970.227;3.644;53.953;0;1.965.409;46.548;547
2007;Melilla;68.282;51.655;683.245;0;25.814;0;828.996;22.148;1.340
2007;Motril;1.543.573;973.264;216.237;3.447;16.677;0;2.753.198;2;431
2007;Pasaia;0;2.778.170;2.245.712;6.708;43.793;0;5.074.383;0;1.453
2007;Santa Cruz de Tenerife;9.585.968;1.716.058;7.448.916;5.613;1.079.023;38.078;19.873.656;486.697;18.050
2007;Santander;424.288;4.374.837;1.387.396;8.514;66.454;0;6.261.489;330;1.506
2007;Sevilla;325.214;2.343.706;2.049.057;0;47.000;0;4.764.977;135.040;1.296
2007;Tarragona;20.594.596;13.626.199;1.698.767;3.816;182.826;33.535;36.139.739;47.136;2.968
2007;Valencia;5.543.232;7.322.671;40.389.134;1.076;338.248;0;53.594.361;3.042.665;7.287
2007;Vigo;82.363;632.226;4.315.555;89.718;405.714;556;5.526.132;244.065;2.427
2007;Vilagarcía;416.135;570.068;205.178;0;7.884;0;1.199.265;9;304
2006;A Coruña;8.205.047;4.095.639;1.050.589;30.757;112.363;312.630;13.807.025;1.355;1.267
2006;Alicante;189.406;1.642.514;1.821.197;2.634;75.389;0;3.731.140;172.729;1.431
2006;Almería;6.613;5.964.929;575.515;7.010;140.111;0;6.694.178;192;2.345
2006;Avilés;814.455;3.615.486;1.487.813;14.205;56.636;0;5.988.595;9.114;1.008
2006;Bahía de Algeciras;20.262.632;2.708.226;43.354.091;1.087;3.053.269;2.329.370;71.708.675;3.256.776;22.293
2006;Bahía de Cádiz;73.815;2.699.354;2.987.479;23.535;87.537;0;5.871.720;155.370;1.735
2006;Baleares;2.169.278;2.188.436;9.937.796;2.982;246.295;0;14.544.787;201.382;11.376
2006;Barcelona;10.536.375;4.107.582;31.762.162;3.483;1.247.918;0;47.657.520;2.318.239;9.533
2006;Bilbao;22.289.779;5.524.178;9.394.336;0;141.482;1.241.053;38.590.828;523.113;3.683
2006;Cartagena;19.348.682;5.173.022;998.686;1.412;115.331;22.429;25.659.562;39.594;1.648
