Año;Autoridad Portuaria;Graneles Líquidos;Graneles Sólidos;Mercancía General;Pesca Fresca;Avituallamiento;Tráfico Local;TOTAL TRAFICO;TEUS;Buques
1999;A Coruña;7.406.731;3.348.952;267.142;46.304;159.902;892.951;12.121.982;442;1.282
1999;Alicante;170.973;1.647.425;1.118.539;13.259;47.882;0;2.998.078;96.136;1.407
1999;Almería-Motril;957.752;7.261.803;554.688;7.793;86.735;0;8.868.771;126;2.260
1999;Avilés;667.640;1.883.794;889.646;15.423;57.785;0;3.514.288;142;839
1999;Bahía de Algeciras;17.341.351;2.603.557;22.101.625;13.905;2.033.808;1.285.247;45.379.493;1.832.557;20.393
1999;Bahía de Cádiz;169.498;1.171.195;2.371.826;36.993;287.187;29.298;4.065.997;61.206;2.252
1999;Baleares;1.437.320;1.952.689;5.953.710;3.466;16.433;77.145;9.440.763;272.398;9.884
1999;Barcelona;8.499.596;4.053.580;15.323.550;6.183;625.601;0;28.508.510;1.234.987;9.204
1999;Bilbao;14.326.221;4.387.107;7.316.567;15;131.748;893.876;27.055.534;377.307;3.869
1999;Cartagena;8.848.651;2.947.000;582.975;3.251;84.365;4.918;12.471.160;47.728;1.603
1999;Castellón;7.217.360;1.293.305;521.850;20.497;26.810;0;9.079.822;14.432;939
1999;Ceuta;1.822.009;52.284;649.065;269;532.400;0;3.056.027;10.532;12.644
1999;Ferrol-S. Cibrao;896.042;7.137.385;403.566;348;24.910;31.733;8.493.984;106;993
1999;Gijón;1.399.358;16.185.221;582.968;2.656;162.855;90.557;18.423.615;14.217;1.131
1999;Huelva;9.300.916;5.482.893;848.159;7.065;51.601;2.115;15.692.749;0;1.803
1999;Las Palmas;4.197.522;1.303.607;9.207.205;93.137;1.924.327;0;16.725.798;635.887;11.739
1999;Málaga;7.464.158;1.218.973;374.238;5.364;146.165;481;9.209.379;4.656;1.401
1999;Marín y Ría de Pontevedra;0;716.389;929.968;8.927;98.939;0;1.754.223;42.794;1.007
1999;Melilla;78.602;56.850;631.415;0;10.519;0;777.386;23.288;1.138
1999;Pasaia;253.645;2.570.039;1.664.042;14.092;50.890;0;4.552.708;0;1.499
1999;Santa Cruz de Tenerife;8.211.895;1.235.418;5.481.730;3.844;989.925;0;15.922.812;366.806;19.252
1999;Santander;353.850;3.693.002;1.126.143;7.965;94.836;0;5.275.796;1.582;1.577
1999;Sevilla;309.902;2.186.308;1.459.513;0;4.960;382;3.961.065;72.600;1.470
1999;Tarragona;15.489.206;8.708.864;924.676;8.243;285.627;2.000;25.418.616;39.423;2.356
1999;Valencia;1.644.757;5.033.379;17.188.012;2.847;216.358;0;24.085.353;1.170.191;6.360
1999;Vigo;55.220;442.954;2.656.227;82.269;272.784;560;3.510.014;135.020;2.498
1999;Vilagarcía;145.125;386.183;239.641;0;8.261;5.310;784.520;0;406
1998;A Coruña;7.762.420;2.688.004;273.849;45.451;177.248;881.805;11.828.777;98;1.262
1998;Alicante;180.779;1.329.345;1.078.807;11.605;45.703;0;2.646.239;89.195;1.207
1998;Almería-Motril;955.362;6.476.159;555.041;7.301;77.185;0;8.071.048;5;1.959
1998;Avilés;613.493;1.816.137;1.405.433;16.947;57.148;0;3.909.158;7;984
1998;Bahía de Algeciras;18.451.404;1.903.441;21.771.428;14.687;1.877.272;1.201.837;45.220.069;1.825.614;19.920
1998;Bahía de Cádiz;92.385;1.229.932;2.359.013;37.083;268.185;20.852;4.007.450;61.097;1.873
1998;Baleares;1.323.670;1.610.200;5.037.488;2.025;34.088;75.295;8.082.766;225.059;8.064
1998;Barcelona;7.238.423;4.406.605;13.080.089;4.396;609.623;0;25.339.136;1.095.113;7.712
1998;Bilbao;15.109.607;3.975.511;7.353.666;24;133.112;669.591;27.241.511;368.072;3.904
1998;Cartagena;8.456.135;2.557.998;568.558;3.135;111.601;3.293;11.700.720;38.450;1.452
1998;Castellón;6.792.749;1.061.677;605.690;18.408;25.615;0;8.504.139;27.659;960
1998;Ceuta;3.374.706;38.945;672.121;345;556.420;0;4.642.537;9.860;11.804
1998;Ferrol-S. Cibrao;721.125;6.948.446;354.863;608;26.950;716;8.052.708;97;1.051
1998;Gijón;1.356.447;13.089.655;567.843;2.610;140.966;96.302;15.253.823;8.785;921
1998;Huelva;8.256.777;5.504.157;709.655;7.232;55.457;4.055;14.537.333;0;1.629
1998;Las Palmas;3.988.015;1.101.600;7.513.063;124.522;1.851.841;0;14.579.041;490.577;11.048
1998;Málaga;7.466.648;1.318.292;416.762;4.509;134.952;426;9.341.589;4.537;1.259
1998;Marín y Ría de Pontevedra;0;699.661;638.990;9.861;87.610;0;1.436.122;21.204;1.022
1998;Melilla;86.908;47.345;679.050;0;9.870;0;823.173;20.716;1.174
1998;Pasaia;254.619;2.194.286;1.492.639;13.976;52.407;0;4.007.927;368;1.367
1998;Santa Cruz de Tenerife;8.147.878;1.222.824;5.120.438;3.717;1.020.783;0;15.515.640;324.672;18.353
1998;Santander;403.938;3.326.901;1.111.641;8.811;98.092;0;4.949.383;495;1.493
1998;Sevilla;311.282;2.247.747;1.303.767;0;5.139;0;3.867.935;66.061;1.313
1998;Tarragona;16.730.549;7.978.546;835.069;7.546;271.890;7.182;25.830.782;31.302;2.276
1998;Valencia;1.337.569;3.888.515;15.031.599;3.492;239.175;0;20.500.350;1.005.397;6.134
1998;Vigo;51.683;469.881;2.466.887;80.854;254.379;3.577;3.327.261;118.520;2.233
1998;Vilagarcía;145.059;317.274;196.457;0;7.657;135;666.582;0;341
1997;A Coruña;7.645.642;2.613.322;167.206;50.008;200.438;752.377;11.428.993;1.958;1.090
1997;Alicante;133.316;1.036.364;961.135;13.843;47.479;0;2.192.137;85.481;1.148
1997;Almería-Motril;776.822;4.655.039;494.537;8.712;67.911;0;6.003.021;48;2.074
1997;Avilés;722.150;1.663.893;1.284.900;19.486;57.692;0;3.748.121;3;979
1997;Bahía de Algeciras;16.906.581;1.758.958;18.633.911;13.961;1.672.159;1.061.655;40.047.225;1.537.627;19.346
1997;Bahía de Cádiz;78.860;1.066.629;2.021.437;32.949;271.201;19.578;3.490.654;56.004;1.832
1997;Baleares;7.693.971;1.392.243;4.667.066;3.019;87.495;77.420;13.921.214;187.827;7.891
1997;Barcelona;8.044.939;5.077.065;11.765.322;5.019;596.420;0;25.488.765;971.921;7.385
1997;Bilbao;12.615.029;3.022.297;6.773.980;23;127.362;539.793;23.078.484;340.059;3.692
1997;Cartagena;7.300.704;2.066.329;406.069;3.486;66.570;226;9.843.384;27.336;1.117
1997;Castellón;6.827.253;864.360;641.315;18.384;30.656;0;8.381.968;29.052;912
1997;Ceuta;3.278.664;37.557;581.816;357;609.699;0;4.508.093;8.116;11.386
1997;Ferrol-S. Cibrao;704.634;6.285.152;320.183;762;14.580;2;7.325.313;592;985
1997;Gijón;1.349.096;11.211.862;668.176;1.507;134.519;99.151;13.464.311;8.595;823
1997;Huelva;8.968.555;4.920.061;720.595;7.489;54.286;14.999;14.685.985;0;1.738
1997;Las Palmas;3.805.675;955.169;5.931.563;107.921;1.666.124;0;12.466.452;380.654;10.385
1997;Málaga;7.045.463;1.222.199;477.828;6.273;111.795;353;8.863.911;4.831;1.245
1997;Marín y Ría de Pontevedra;0;730.143;568.472;10.778;92.528;0;1.401.921;10.685;852
1997;Melilla;98.134;39.482;595.891;0;10.398;0;743.905;17.695;1.261
1997;Pasaia;309.287;1.830.773;1.620.855;14.937;61.964;0;3.837.816;386;1.422
1997;Santa Cruz de Tenerife;7.793.259;1.000.190;5.261.895;3.425;897.465;0;14.956.234;277.685;18.020
1997;Santander;422.033;3.017.461;1.057.475;10.287;77.927;0;4.585.183;1.609;1.464
1997;Sevilla;322.240;2.587.438;1.097.880;0;7.276;10.338;4.025.172;58.891;1.359
1997;Tarragona;21.952.554;8.137.133;715.002;9.597;309.129;2.179;31.125.594;32.506;2.398
1997;Valencia;1.379.947;3.562.577;13.059.895;3.154;240.905;0;18.246.478;831.510;6.092
1997;Vigo;45.972;437.346;2.201.709;83.270;246.384;10.884;3.025.565;97.745;2.123
1997;Vilagarcía;129.489;304.103;203.655;0;5.803;0;643.050;0;322
1996;A Coruña;7.916.386;2.514.549;166.138;54.637;241.995;434.700;11.328.405;459;1.057
1996;Alicante;139.892;1.406.275;806.505;17.225;46.310;0;2.416.207;71.995;1.105
1996;Almería-Motril;686.379;6.517.586;558.909;9.356;67.962;0;7.840.192;0;1.790
1996;Avilés;774.440;1.814.488;1.193.855;15.835;53.432;0;3.852.050;12;1.030
1996;Bahía de Algeciras;15.901.064;1.739.329;16.559.766;16.803;1.601.976;1.017.519;36.836.457;1.306.825;17.980
1996;Bahía de Cádiz;171.532;1.347.364;1.996.364;32.229;212.980;17.255;3.777.724;58.443;2.187
1996;Baleares;7.898.093;1.222.795;4.291.531;3.308;50.297;78.153;13.544.177;164.683;7.348
1996;Barcelona;8.346.544;5.130.396;10.094.446;7.509;569.011;0;24.147.906;767.236;7.200
1996;Bilbao;11.815.909;3.634.819;6.285.623;18;139.441;770.717;22.646.527;300.620;3.487
1996;Cartagena;7.532.029;2.081.500;324.267;2.746;88.533;0;10.029.075;19.144;1.099
1996;Castellón;6.785.032;743.420;630.647;19.675;25.729;0;8.204.503;27.036;861
1996;Ceuta;2.046.031;49.577;465.431;385;533.047;0;3.094.471;4.678;10.614
1996;Ferrol-S. Cibrao;548.415;6.362.331;276.625;906;9.805;0;7.198.082;97;1.015
1996;Gijón;1.498.614;11.344.307;620.202;2.900;126.561;92.193;13.684.777;7.371;844
1996;Huelva;9.345.874;5.121.895;629.143;7.193;49.996;0;15.154.101;0;1.713
1996;Las Palmas;3.497.604;860.324;5.144.458;75.013;1.586.619;0;11.164.018;354.137;10.091
1996;Málaga;6.889.261;1.263.293;490.581;7.491;109.428;305;8.760.359;5.074;1.292
1996;Marín y Ría de Pontevedra;21.542;548.796;585.330;10.317;80.520;0;1.246.505;11.524;743
1996;Melilla;88.507;48.795;513.976;0;7.913;0;659.191;13.207;1.186
1996;Pasaia;313.452;1.819.862;1.298.438;16.191;62.105;0;3.510.048;52;1.321
1996;Santa Cruz de Tenerife;7.149.522;865.389;4.885.857;3.808;1.096.063;0;14.000.639;262.136;18.241
1996;Santander;440.495;3.033.447;1.062.760;10.240;70.029;0;4.616.971;7.315;1.585
1996;Sevilla;223.695;2.567.675;965.595;0;4.649;6.341;3.767.955;44.846;1.314
1996;Tarragona;22.772.848;7.307.998;711.133;9.012;270.011;0;31.071.002;33.515;2.449
1996;Valencia;1.188.141;3.549.963;11.115.659;3.487;259.400;0;16.116.650;708.332;5.348
1996;Vigo;159.661;396.653;2.058.936;89.303;275.931;151.313;3.131.797;83.098;1.911
1996;Vilagarcía;124.197;305.148;169.234;0;8.182;0;606.761;0;342
1995;A Coruña;7.970.865;3.347.444;180.332;63.697;287.107;357.237;12.206.682;0;1.059
1995;Alicante;129.263;1.285.788;768.311;21.586;38.157;0;2.243.105;62.375;966
1995;Almería-Motril;685.027;7.505.265;554.383;12.612;53.713;0;8.811.000;112;1.809
1995;Avilés;813.507;1.869.665;1.345.827;17.066;53.232;0;4.099.297;4;1.092
1995;Bahía de Algeciras;17.226.289;2.162.254;14.987.349;15.090;1.550.149;1.045.396;36.986.527;1.154.714;12.863
1995;Bahía de Cádiz;1.317.389;1.363.538;1.936.477;30.270;230.815;44.214;4.922.703;59.338;2.106
1995;Baleares;5.218.708;1.122.824;4.255.797;2.760;49.916;0;10.650.005;170.492;7.331
1995;Barcelona;8.215.091;5.115.090;9.401.380;7.746;553.394;0;23.292.701;689.324;6.854
1995;Bilbao;13.066.024;5.435.133;6.506.330;31;147.766;2.610.829;27.766.113;296.616;3.690
1995;Cartagena;8.187.694;2.295.212;345.625;3.076;87.385;0;10.918.992;21.275;1.015
1995;Castellón;6.306.229;705.881;681.799;21.209;23.788;0;7.738.906;23.001;813
1995;Ceuta;4.331.258;71.300;1.011.509;362;568.801;0;5.983.230;10.446;7.440
1995;Ferrol-S. Cibrao;495.145;6.103.812;273.705;656;22.786;0;6.896.104;53;994
1995;Gijón;1.447.190;11.843.254;555.097;4.893;97.545;65.330;14.013.309;7.812;838
1995;Huelva;11.157.922;4.674.619;448.749;29.590;52.945;0;16.363.825;0;2.216
1995;Las Palmas;3.500.257;759.113;4.889.687;140.824;1.524.479;0;10.814.360;333.645;10.018
1995;Málaga;6.916.938;1.615.045;593.868;5.071;115.595;154;9.246.671;4.426;1.417
1995;Marín y Ría de Pontevedra;7.617;686.015;520.263;40.690;70.918;0;1.325.503;5.015;665
1995;Melilla;79.433;49.265;564.897;0;449;0;694.044;15.776;1.171
1995;Pasaia;470.232;2.218.851;1.378.198;13.456;65.837;0;4.146.574;137;1.414
1995;Santa Cruz de Tenerife;7.638.518;883.732;4.451.557;0;983.147;0;13.956.954;242.066;16.690
1995;Santander;558.546;3.144.552;928.361;9.209;61.697;0;4.702.365;1.613;1.497
1995;Sevilla;238.422;2.394.516;916.305;4.148;20.374;0;3.573.765;47.224;1.266
1995;Tarragona;20.073.783;7.653.204;748.668;10.148;213.479;5.993;28.705.275;49.130;2.420
1995;Valencia;1.317.336;3.902.812;10.897.061;3.579;257.136;0;16.377.924;671.827;5.053
1995;Vigo;703.708;439.978;2.045.311;151.127;254.328;112.535;3.706.987;83.029;1.984
1995;Vilagarcía;136.503;265.396;117.627;32.707;8.681;12;560.926;0;324
1994;A Coruña;8.242.019;2.692.893;160.940;62.230;292.754;297.230;11.748.066;0;1.039
1994;Alicante;226.769;1.306.194;621.268;21.452;29.685;0;2.205.368;58.409;920
1994;Almería-Motril;673.548;6.502.370;450.124;15.817;68.519;0;7.710.378;591;1.325
1994;Avilés;623.234;1.761.949;1.586.629;17.823;54.291;0;4.043.926;79;1.141
1994;Bahía de Algeciras;18.295.601;2.109.026;11.918.257;18.385;1.590.875;839.278;34.771.422;1.003.528;13.967
1994;Bahía de Cádiz;303.782;1.170.238;2.395.058;35.288;221.873;38.205;4.164.444;72.562;2.448
1994;Baleares;1.279.948;1.126.135;3.965.098;3.360;58.532;0;6.433.073;150.356;23.711
1994;Barcelona;8.035.018;3.816.464;8.538.363;9.751;456.799;0;20.856.395;605.356;6.421
1994;Bilbao;13.543.757;6.408.417;5.512.819;36;139.640;3.878.052;29.482.721;267.623;3.481
1994;Cartagena;6.924.926;1.735.812;286.227;3.010;76.239;0;9.026.214;16.721;992
1994;Castellón;6.622.792;521.477;561.470;17.440;20.243;0;7.743.422;22.729;763
1994;Ceuta;4.327.790;58.918;978.162;385;671.653;0;6.036.908;11.109;8.087
1994;Ferrol-S. Cibrao;451.075;5.112.844;262.118;866;22.508;1.297;5.850.708;0;926
1994;Gijón;1.420.614;10.532.349;490.125;2.780;100.888;65.153;12.611.909;7.953;794
1994;Huelva;8.123.301;4.139.435;333.053;44.392;52.080;271;12.692.532;0;1.755
1994;Las Palmas;3.204.480;677.950;4.770.728;198.481;1.453.755;0;10.305.394;313.188;9.819
1994;Málaga;7.016.293;1.087.863;675.288;7.329;121.913;32;8.908.718;4.581;1.403
1994;Marín y Ría de Pontevedra;11.213;525.883;367.412;41.844;65.365;0;1.011.717;3.218;504
1994;Melilla;60.986;41.427;720.860;0;7.370;0;830.643;14.034;1.166
1994;Pasaia;405.288;2.046.594;1.349.758;10.243;72.888;0;3.884.771;76;1.357
1994;Santa Cruz de Tenerife;7.517.335;800.814;4.114.672;1;978.154;0;13.410.976;215.086;13.812
1994;Santander;535.990;2.703.768;930.336;8.089;56.190;0;4.234.373;1.338;1.370
1994;Sevilla;297.608;1.936.665;814.406;4.761;25.776;0;3.079.216;40.315;1.090
1994;Tarragona;16.024.988;6.811.854;723.864;12.383;187.069;0;23.760.158;40.975;2.227
1994;Valencia;1.140.503;3.727.458;8.070.236;4.990;156.065;0;13.099.252;466.873;4.708
1994;Vigo;771.522;374.366;2.045.661;152.440;240.327;114.261;3.698.577;86.005;2.050
1994;Vilagarcía;111.319;280.374;83.724;28.425;6.420;5.180;515.442;0;319
1993;A Coruña;8.405.881;2.500.900;205.756;65.720;305.948;275.161;11.759.366;0;1.563
1993;Alicante;321.497;1.211.211;536.300;16.382;28.445;0;2.113.835;49.567;903
1993;Almería-Motril;652.353;7.143.354;469.009;13.152;74.686;0;8.352.554;725;1.313
1993;Avilés;668.943;1.014.549;1.706.418;11.512;45.045;0;3.446.467;29;936
1993;Bahía de Algeciras;14.723.758;1.834.943;11.272.019;20.849;1.317.922;832.798;30.002.289;806.543;13.088
1993;Bahía de Cádiz;449.942;811.075;2.224.993;35.944;188.293;36.404;3.746.651;75.770;2.200
1993;Baleares;1.216.492;1.103.629;3.358.654;3.027;54.549;0;5.736.351;107.120;16.137
1993;Barcelona;7.658.323;3.108.734;6.915.335;5.906;430.556;0;18.118.854;501.146;6.176
1993;Bilbao;14.562.239;5.705.626;4.734.449;86;232.142;4.771.411;30.005.953;222.264;3.284
1993;Cartagena;8.469.375;1.529.443;301.930;3.068;105.854;0;10.409.670;18.939;1.004
1993;Castellón;5.981.269;481.657;431.881;15.876;23.722;0;6.934.405;16.084;699
1993;Ceuta;2.749.237;55.666;965.940;379;761.123;0;4.532.345;4.702;8.203
1993;Ferrol-S. Cibrao;364.564;4.204.948;251.469;858;12.117;249;4.834.205;0;828
1993;Gijón;1.256.185;10.862.486;387.014;6.006;100.519;68.353;12.680.563;7.247;788
1993;Huelva;7.664.403;3.119.563;260.706;37.615;53.295;128;11.135.710;0;1.596
1993;Las Palmas;2.936.735;650.626;4.194.084;194.183;1.414.007;0;9.389.635;267.040;8.978
1993;Málaga;6.509.724;1.205.032;683.086;7.419;100.790;0;8.506.051;6.265;1.372
1993;Marín y Ría de Pontevedra;8.477;502.785;289.801;42.305;52.486;0;895.854;2.473;493
1993;Melilla;49.305;36.128;667.734;0;19.485;0;772.652;12.125;1.112
1993;Pasaia;592.134;2.292.498;1.318.287;13.412;76.182;0;4.292.513;0;1.500
1993;Santa Cruz de Tenerife;6.963.756;808.192;3.679.613;3.505;814.135;0;12.269.201;187.154;11.439
1993;Santander;624.712;2.372.057;735.849;7.273;52.442;0;3.792.333;286;1.310
1993;Sevilla;197.380;2.032.972;432.787;2.415;12.100;0;2.677.654;26.154;905
1993;Tarragona;16.233.790;6.728.935;631.669;12.105;207.627;0;23.814.126;40.563;2.134
1993;Valencia;1.176.831;2.516.804;6.669.803;5.454;152.187;0;10.521.079;385.338;4.427
1993;Vigo;742.764;409.308;1.681.173;146.209;247.133;110.239;3.336.826;79.541;1.836
1993;Vilagarcía;117.361;273.995;79.606;30.488;7.969;82.353;591.772;0;314
1992;A Coruña;10.034.433;2.397.144;166.556;60.351;313.052;291.204;13.262.740;0;1.742
1992;Alicante;1.104.219;958.742;607.899;16.079;33.397;0;2.720.336;50.883;1.028
1992;Almería-Motril;739.339;7.256.036;508.196;14.128;60.483;0;8.578.182;820;1.284
1992;Avilés;620.081;1.145.135;1.852.704;14.799;50.100;0;3.682.819;0;1.075
1992;Bahía de Algeciras;16.896.839;2.051.384;9.354.973;25.696;1.122.838;581.984;30.033.714;780.337;12.162
1992;Bahía de Cádiz;275.603;615.998;1.903.060;35.564;213.801;40.839;3.084.865;74.222;2.329
1992;Baleares;1.157.002;1.171.803;3.333.129;3.155;76.277;0;5.741.366;152.418;15.114
1992;Barcelona;7.528.120;3.208.911;7.600.894;6.366;485.412;0;18.829.703;552.309;6.191
1992;Bilbao;15.020.328;5.878.078;4.619.046;134;201.229;4.841.546;30.560.361;204.421;3.353
1992;Cartagena;9.907.126;1.732.632;359.888;3.109;107.218;20;12.109.993;17.028;1.204
1992;Castellón;6.348.664;488.800;422.968;14.233;24.638;0;7.299.303;11.101;752
1992;Ceuta;2.756.940;49.484;948.100;486;684.288;0;4.439.298;4.227;7.794
1992;Ferrol-S. Cibrao;271.589;4.210.077;345.091;1.205;25.667;195;4.853.824;32;892
1992;Gijón;1.422.405;10.815.438;254.000;5.081;106.933;72.450;12.676.307;6.452;781
1992;Huelva;7.157.340;3.055.069;382.179;41.568;62.944;0;10.699.100;0;1.588
1992;Las Palmas;3.075.122;695.309;4.127.810;219.685;1.610.080;0;9.728.006;248.697;9.521
1992;Málaga;7.541.521;1.079.840;546.063;9.336;89.929;0;9.266.689;3.405;1.365
1992;Marín y Ría de Pontevedra;15.039;394.175;348.088;64.381;62.497;0;884.180;0;470
1992;Melilla;44.788;28.597;553.387;7;15.993;0;642.772;11.449;954
1992;Pasaia;633.684;2.111.543;1.301.071;10.181;81.618;0;4.138.097;174;1.422
1992;Santa Cruz de Tenerife;6.980.748;987.503;3.669.726;4.087;989.530;0;12.631.594;199.837;11.999
1992;Santander;611.071;2.455.421;681.600;6.440;58.178;0;3.812.710;452;1.492
1992;Sevilla;160.554;2.604.825;509.646;2.662;44.287;0;3.321.974;30.634;1.082
1992;Tarragona;16.854.634;7.111.154;632.489;9.732;293.246;0;24.901.255;33.186;2.197
1992;Valencia;1.182.904;3.352.913;6.661.457;5.216;182.088;0;11.384.578;370.546;4.500
1992;Vigo;871.096;445.342;1.605.981;141.213;254.561;88.927;3.407.120;77.017;2.053
1992;Vilagarcía;106.517;283.381;77.836;47.752;10.375;57.646;583.507;0;357
1991;A Coruña;9.157.424;2.181.837;172.910;66.531;406.184;863.890;12.848.776;324;2.123
1991;Alicante;1.178.036;663.837;704.096;18.363;32.803;0;2.597.135;44.044;1.171
1991;Almería-Motril;66.965;7.346.650;195.226;12.587;45.754;0;7.667.182;934;937
1991;Avilés;599.793;1.367.704;1.905.111;16.164;46.914;0;3.935.686;0;1.109
1991;Bahía de Algeciras;17.125.613;1.721.300;9.160.954;26.279;913.816;698.698;29.646.660;761.795;12.491
1991;Bahía de Cádiz;288.712;732.431;1.804.739;37.800;259.844;63.624;3.187.150;71.369;2.021
1991;Baleares;1.265.080;1.049.525;3.951.331;2.745;83.959;0;6.352.640;175.077;16.914
1991;Barcelona;7.626.174;3.937.086;6.749.487;5.897;404.235;0;18.722.879;488.917;6.311
1991;Bilbao;16.301.694;6.432.891;4.645.886;137;218.030;5.076.325;32.674.963;193.823;3.628
1991;C.A.G.P;945.925;3.177.126;404.581;2.251;27.515;0;4.557.398;0;814
1991;Cartagena;11.499.669;1.705.467;524.163;2.140;117.044;19.079;13.867.562;18.859;1.218
1991;Castellón;6.529.696;306.819;404.219;15.084;32.323;0;7.288.141;5.546;697
1991;Ceuta;3.209.993;42.120;980.625;737;639.701;0;4.873.176;3.298;8.763
1991;Ferrol-S. Cibrao;29.003;1.279.315;195.140;1.351;29.185;1.204;1.535.198;0;521
1991;Gijón;1.453.344;11.205.446;251.704;3.445;150.036;97.304;13.161.279;6.299;1.009
1991;Huelva;5.732.277;3.235.412;363.346;43.470;65.634;0;9.440.139;0;1.668
1991;Las Palmas;2.848.034;684.378;3.924.577;272.350;1.672.684;0;9.402.023;207.738;10.506
1991;Málaga;7.538.996;962.400;565.469;8.402;92.504;19;9.167.790;3.818;1.424
1991;Marín y Ría de Pontevedra;12.149;349.092;249.236;61.757;68.533;0;740.767;156;1.504
1991;Melilla;39.859;14.428;482.748;12;13.444;0;550.491;8.331;307
1991;Pasaia;598.146;1.810.245;1.478.436;12.336;81.630;0;3.980.793;29.054;715
1991;Santa Cruz de Tenerife;7.685.725;1.030.624;3.497.588;3.844;1.095.797;0;13.313.578;188.161;12.502
1991;Santander;816.772;2.741.981;668.617;5.640;55.133;0;4.288.143;284;1.462
1991;Sevilla;114.458;2.620.403;627.471;3.237;28.971;0;3.394.540;29.402;1.137
1991;Tarragona;15.658.705;7.462.870;605.634;7.294;245.830;363.625;24.343.958;26.848;2.254
1991;Valencia;2.087.252;3.190.129;6.513.401;3.438;225.523;0;12.019.743;364.446;4.635
1991;Vigo;891.656;447.252;1.505.884;143.517;282.189;100.256;3.370.754;74.366;2.103
1991;Vilagarcía;112.616;231.938;61.067;57.174;10.563;5.511;478.869;0;343
1990;A Coruña;9.077.910;2.121.260;180.638;77.661;349.828;782.715;12.590.012;193;2.339
1990;Alicante;1.079.424;709.873;710.599;18.631;37.130;0;2.555.657;39.883;1.332
1990;Almería-Motril;231.831;6.183.352;305.363;10.478;72.234;0;6.803.258;828;924
1990;Avilés;554.119;1.348.816;1.845.670;19.017;55.538;0;3.823.160;0;1.076
1990;Bahía de Algeciras;16.060.765;1.545.389;6.932.015;26.634;990.552;791.179;26.346.534;552.555;14.369
1990;Bahía de Cádiz;250.305;785.829;1.783.467;42.962;222.752;59.361;3.144.676;79.095;2.278
1990;Baleares;1.098.939;1.239.359;3.783.859;2.222;202.959;61.274;6.388.612;171.486;6.707
1990;Barcelona;7.438.024;4.147.753;6.443.962;5.588;385.453;0;18.420.780;447.920;6.378
1990;Bilbao;14.413.348;6.416.129;4.375.982;181;211.940;4.648.704;30.066.284;189.005;3.532
1990;C.A.G.P;741.745;3.235.347;333.929;2.670;25.796;0;4.339.487;0;764
1990;Cartagena;11.245.125;1.289.321;1.149.516;685;109.576;167;13.794.390;21.446;1.265
1990;Castellón;6.932.989;434.626;477.205;13.751;36.597;0;7.895.168;3.835;825
1990;Ceuta;1.898.356;38.684;887.566;867;770.515;0;3.595.988;4.042;11.018
1990;Ferrol-S. Cibrao;45.677;973.781;223.160;1.097;33.511;535;1.277.761;0;504
1990;Gijón;1.243.974;10.079.276;246.501;4.750;134.655;91.596;11.800.752;6.507;896
1990;Huelva;6.263.320;3.366.319;379.466;45.144;68.437;15.487;10.138.173;2;1.940
1990;Las Palmas;2.779.033;707.032;4.020.981;327.880;1.879.951;0;9.714.877;216.724;11.440
1990;Málaga;7.638.981;933.808;568.275;6.350;94.525;0;9.241.939;3.051;1.559
1990;Marín y Ría de Pontevedra;18.915;322.122;192.114;53.903;72.331;0;659.385;401;276
1990;Melilla;34.891;14.215;408.453;24;12.790;0;470.373;6.134;855
1990;Pasaia;582.865;824.359;2.329.366;13.925;73.008;0;3.823.523;19.379;1.487
1990;Santa Cruz de Tenerife;7.649.872;965.022;3.411.112;3.935;1.168.059;0;13.198.000;150.306;13.784
1990;Santander;690.402;2.618.666;773.304;6.338;52.366;0;4.141.076;380;1.425
1990;Sevilla;176.087;2.122.779;737.110;3.501;30.801;0;3.070.278;30.811;1.107
1990;Tarragona;17.067.090;6.561.214;616.069;4.752;236.273;341.031;24.826.429;18.327;2.207
1990;Valencia;2.112.675;3.336.225;6.527.045;3.990;192.311;0;12.172.246;387.162;4.747
1990;Vigo;888.030;424.303;1.382.489;175.886;256.440;97.494;3.224.642;67.348;3.123
1990;Vilagarcía;115.421;220.223;79.485;74.130;12.044;10.010;511.313;0;373
1989;A Coruña;9.961.004;2.406.956;184.783;82.779;341.763;762.834;13.740.119;349;2.454
1989;Alicante;967.508;811.770;761.334;12.311;42.090;0;2.595.013;42.837;1.567
1989;Almería-Motril;237.101;6.888.977;216.151;8.452;44.406;0;7.395.087;575;907
1989;Avilés;408.658;1.238.417;1.789.244;16.830;41.410;0;3.494.559;0;961
1989;Bahía de Algeciras;16.485.802;1.581.711;5.700.069;34.645;905.116;739.952;25.447.295;397.163;11.254
1989;Bahía de Cádiz;211.237;689.491;1.535.680;43.738;296.069;10.607;2.786.822;85.461;1.733
1989;Baleares;1.116.986;1.420.391;4.073.651;2.316;243.790;55.099;6.912.233;183.920;7.144
1989;Barcelona;7.210.407;4.068.194;6.865.086;5.432;369.847;0;18.518.966;439.969;6.555
1989;Bilbao;16.007.292;6.718.443;4.240.166;194;274.642;3.065.779;30.306.516;182.002;3.651
1989;C.A.G.P;645.812;2.836.200;204.269;2.650;21.257;0;3.710.188;0;702
1989;Cartagena;8.494.498;1.643.213;756.572;795;88.986;211;10.984.275;21.593;1.266
1989;Castellón;5.703.084;356.953;498.680;14.338;29.759;0;6.602.814;2.604;746
